Original Website,Phished Domain,Threat Type,Impersonating Domains Yes/No,Status,Does it exists (Yes/No),Is it Parked/Vacant,Phishing Page (Yes/No),Hosts Brand Assets (Yes/No),Working?,,,,,,,,,,,Notes
https://paypal.com,http://paypa1-login.com,Typosquatting,Yes,Not active,No,No,,,✅ Working,,,,,,,,,,,"Looks identical, login clone"
https://facebook.com,http://faceboook-info.net,Clone/Lookalike,Yes,Not active,No,No,,,✅ Working,,,,,,,,,,,Phishing login for FB
https://steamcommunity.com,http://steamcormmunrity.com/506741901399,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Steam
https://steamcommunity.com,http://steamcomrrmunity.com/379473530675,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Steam
https://steamcommunity.com,https://steamcommun1fty.com/gift-card/7856912,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Steam
https://steamcommunity.com,https://steamcommun1fty.com/gift/id=7462904,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Steam
https://steamcommunity.com,https://steamcommun1fty.com/id=7715353455,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Steam
https://steamcommunity.com,https://steamcommonity.com/activation=Dor5Fhnm3w,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Steam
https://www.facebook.com/login/,https://facebook-v2-urtheaman.vercel.app/,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Facebook
https://accounts.binance.com/en-IN/login?loginChannel=&return_to=,https://www.binance.com.loginsn.cc/inicio.php,Clone/Lookalike,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,Phishing Community details for Binance
,https://one1dvre-ms0ftoffc356-1dr3ivef1l3e.glitch.me/,Typosquatting,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,
,https://robllox.com.pk/games/8737602449/PLS-DONATE?privateServerLinkCode=87384354723351377353320252293168,Typosquatting,Yes,Active,Yes,No,,,✅ Working,,,,,,,,,,,
naukri.com,naukir.com,Redirection Phishing,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,Redirects you to a gambling site
naukri.com,naikri.com,typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"identical name, redirects you to a malicious download page"
naukri.com,naukkri.com,Typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,blocked from access
naukri.com,nauri.com,Similarity Match,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,similar name but leads to another website
naukri.com,naukeri.com,Typosquatting / Brand Impersonation (Dormant),No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"Domain closely resembles naukri.com but currently shows a ""Site Under Development"" page. Could be used for phishing in the future."
paytm.com,payym.com,Typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"identical name, gives a similar contact email"
paytm.com,paytj.com,Typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"malicious site, chinese"
paytm.com,aytm.com,typosquatting/omission,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,redirects you to different company
paytm.com,patm.com,typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,redirects you to a different company
paytm.com,payum.com,phishing,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"asks information for ""business inquiries"""
paytm.com,xaytm.com,bitsquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,illicit site
paytm.com,payto.com,Typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"different website, under development"
paytm.com,taytm.com,Typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"different website, chinese"
paytm.com,paytm1.com,addition,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,used for internal communication only
paytm.com,paytmv.com,typosquatting,No,Active,Yes,No,,,✅ Working,,,,,,,,,,,"potential phishing site, or scamming site"
https://www.wellsfargo.com,https://saharacustoms.com/index.html,Impersonation,,Active,Yes,No,,,✅ Working,,,,,,,,,,,Credentials Steal
,https://r.oblox.pk/users/1030337336/profile,Typosquatting,,Active,Yes,No,,,✅ Working,,,,,,,,,,,
,https://www.roblox.com.am/games/126884695634066/Grow-a-Garden?privateServerLinkCode=68734871310445513807793391144395,Impersonation,,Active,Yes,No,,,✅ Working,,,,,,,,,,,
,https://tel-egram.icu/,Impersonation,,Active,Yes,No,,,✅ Working,,,,,,,,,,,
,https://te1egam.com/,Typosquatting,,Active,Yes,No,,,✅ Working,,,,,,,,,,,
,https://t.elegramx.org/,Typosquatting,,Active,Yes,No,,,✅ Working,,,,,,,,,,,
https://www.mbhbank.hu/,http://mbhbank-netbank-hu.com/,,,Active,,,,,✅ Working,,,,,,,,,,,
,http://mbhbank-hu.com/,,,,,,,,✅ Working,,,,,,,,,,,
,http://mbhbank-hu.com/merchant/bank-confirm/mbh-select/65q0Ee36OkL,,,,,,,,✅ Working,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
